,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby
0,2015/1/1 0:00,17.96,6.08,59.1,190,5,0,30.09,1019,10
1,2015/1/1 1:00,19.94,8.06,59.4,190,5,0,30.08,1018.7,10
2,2015/1/1 2:00,23,6.98,49.69,210,9,0,30.06,1018.1,10
3,2015/1/1 3:00,21.92,5,47.52,230,11,0,30.04,1017.4,10
4,2015/1/1 4:00,23,3.92,43.21,250,13,0,30.05,1017.7,10
5,2015/1/1 5:00,23,3.92,43.21,250,11,0,30.06,1018.1,10
6,2015/1/1 6:00,23,3.02,41.45,240,13,0,30.07,1018.4,10
7,2015/1/1 7:00,24.08,3.92,41.3,240,11,0,30.08,1018.9,10
8,2015/1/1 8:00,26.06,3.92,38.03,210,8,0,30.08,1018.9,10
9,2015/1/1 9:00,28.04,3.92,35.05,220,14,0,30.08,1018.8,10
10,2015/1/1 10:00,30.02,5,33.97,210,10,0,30.07,1018.4,10
11,2015/1/1 11:00,32,6.08,32.93,240,13,0,30.03,1017.2,10
12,2015/1/1 12:00,33.08,6.08,31.53,220,15,0,29.99,1015.7,10
13,2015/1/1 13:00,33.98,6.98,31.69,220,15,0,29.94,1014.2,10
14,2015/1/1 14:00,33.08,6.08,31.53,220,12,0,29.93,1013.7,10
15,2015/1/1 15:00,33.08,6.08,31.53,190,8,0,29.92,1013.4,10
16,2015/1/1 16:00,32,6.98,34.31,210,12,0,29.91,1013.1,10
17,2015/1/1 17:00,30.92,8.06,37.63,190,7,0,29.91,1013.1,10
18,2015/1/1 18:00,30.92,8.06,37.63,210,10,0,29.93,1013.6,10
19,2015/1/1 19:00,30.92,10.04,41.13,200,9,0,29.92,1013.3,10
20,2015/1/1 20:00,32,10.94,40.99,200,9,0,29.92,1013.3,10
21,2015/1/1 21:00,32,12.02,43,210,11,0,29.92,1013.4,10
22,2015/1/1 22:00,33.98,12.92,41.33,210,11,0,29.94,1013.9,10
23,2015/1/1 23:00,33.98,14,43.34,200,8,0,29.95,1014.2,10
24,2015/1/2 0:00,33.08,14,44.92,210,7,0,29.95,1014.4,10
25,2015/1/2 1:00,32,14,46.92,190,8,0,29.95,1014.3,10
26,2015/1/2 2:00,30.92,14,49.01,200,7,0,29.97,1015,10
27,2015/1/2 3:00,28.94,14,53.13,230,4,0,29.98,1015.4,10
28,2015/1/2 4:00,30.02,15.08,53.29,220,4,0,29.99,1015.6,10
29,2015/1/2 5:00,32,15.98,51.15,220,6,0,30.02,1016.6,10
30,2015/1/2 6:00,33.08,15.98,48.98,220,10,0,30.05,1017.7,10
31,2015/1/2 7:00,33.98,15.98,47.25,220,9,0,30.09,1018.9,10
32,2015/1/2 8:00,35.06,17.06,47.42,220,9,0,30.11,1019.7,10
33,2015/1/2 9:00,35.96,17.96,47.57,230,10,0,30.14,1020.8,10
34,2015/1/2 10:00,37.04,19.94,49.62,240,12,0,30.14,1020.7,10
35,2015/1/2 11:00,37.04,21.02,51.95,270,11,0.0001,30.12,1020.2,10
36,2015/1/2 12:00,37.94,23,54.51,300,6,0.0001,30.13,1020.4,10
37,2015/1/2 13:00,37.04,21.92,53.97,280,11,0.0001,30.15,1021.2,10
38,2015/1/2 14:00,37.94,17.06,42.32,280,13,0,30.17,1021.8,10
39,2015/1/2 15:00,37.04,17.96,45.58,330,4,0,30.2,1022.8,10
40,2015/1/2 16:00,33.08,17.06,51.33,320,4,0,30.22,1023.4,10
41,2015/1/2 17:00,32,17.06,53.6,320,6,0,30.26,1024.7,10
42,2015/1/2 18:00,32,17.96,55.72,340,6,0,30.31,1026.5,10
43,2015/1/2 19:00,30.02,17.96,60.38,300,6,0,30.34,1027.6,10
44,2015/1/2 20:00,30.02,17.96,60.38,310,4,0,30.37,1028.6,10
45,2015/1/2 21:00,26.96,17.06,65.84,290,4,0,30.41,1029.8,10
46,2015/1/2 22:00,26.06,17.06,68.33,290,3,0,30.43,1030.8,10
47,2015/1/2 23:00,28.94,17.96,63.1,320,5,0,30.45,1031.3,10
48,2015/1/3 0:00,28.04,17.06,62.97,0,0,0,30.48,1032.4,10
49,2015/1/3 1:00,26.96,17.06,65.84,350,6,0,30.49,1032.7,10
50,2015/1/3 2:00,26.06,15.98,65.21,360,5,0,30.5,1033,10
51,2015/1/3 3:00,23,14,67.96,10,6,0,30.52,1033.6,10
52,2015/1/3 4:00,24.98,14,62.55,0,0,0,30.53,1034.1,10
53,2015/1/3 5:00,23,14,67.96,0,0,0,30.56,1035.2,10
54,2015/1/3 6:00,23,15.98,74.09,0,0,0,30.59,1036,10
55,2015/1/3 7:00,23,15.98,74.09,0,0,0,30.61,1036.8,10
56,2015/1/3 8:00,26.06,17.06,68.33,360,3,0,30.62,1037,10
57,2015/1/3 9:00,28.94,15.98,57.92,90,3,0,30.61,1036.8,10
58,2015/1/3 10:00,30.02,14,50.84,120,3,0,30.61,1036.7,10
59,2015/1/3 11:00,32,14,46.92,140,4,0,30.59,1035.9,10
60,2015/1/3 12:00,33.08,12.92,42.84,80,3,0,30.57,1035.2,10
61,2015/1/3 13:00,33.98,12.92,41.33,120,6,0,30.55,1034.7,10
62,2015/1/3 14:00,31.4,17.78,57.64333333,146.6666667,9.666666667,0.0001,30.55,1034.8,2.5
63,2015/1/3 15:00,28.94,23.99,81.555,105,6.5,0.02005,30.535,1033.7,0.75
64,2015/1/3 16:00,28.04,24.08,84.87,60,5,0.05,30.48,1032.3,0.75
65,2015/1/3 17:00,28.16,24.32,85.30666667,16.66666667,4.333333333,0.053333333,30.46333333,1031.8,1.416666667
66,2015/1/3 18:00,28.16,24.62,86.39,13.33333333,5.666666667,0.033333333,30.45,1031.2,1.833333333
67,2015/1/3 19:00,27.68,24.08,86.15666667,30,5,0.053333333,30.42,1029.6,1.75
68,2015/1/3 20:00,28.355,24.485,85.2125,100,7,0.0325,30.37,1027.8,2
69,2015/1/3 21:00,28.94,26.06,88.82,10,9,0.04,30.29,1025.9,2
70,2015/1/3 22:00,29.48,26.51,88.52,185,7,0.015,30.255,1024.2,1.25
71,2015/1/3 23:00,30.02,26.96,88.22,355,7,0.01,30.19,1022,1.625
72,2015/1/4 0:00,30.11,26.78,87.25,350,6,0.015,30.115,1019.7,2
73,2015/1/4 1:00,30.92,28.04,88.92,360,9,0.055,30.06,1018,2
74,2015/1/4 2:00,32,28.94,88.32,360,7.5,0.035,30.03,1017,2
